Project_No,Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours,Language,Methodology,ApplicationType
3779,0.0,0,0,14,0,0,0,284,1.0,1.0,398.1,6880,XML,Unified Process and its variants,Business Application
3780,0.0,0,0,8,0,0,0,390,1.0,1.0,301.75,9189,SQL,Personal Software Process (PSP),Infrastructure Software
3781,0.0,0,0,14,0,0,0,560,1.0,1.0,340.1,13253,CSP,Multifunctional Teams,Business Application
3782,0.0,0,0,11,0,0,0,379,1.0,1.0,387.9,9004,Visual Basic,Incremental,Real-Time Application
3783,0.0,0,0,5,0,0,0,339,1.0,1.0,299.65,7942,XML,Personal Software Process (PSP),Business Application
3784,0.0,0,0,5,0,0,0,399,1.0,1.0,303.1,9328,XML,Rapid Application Development,Real-Time application
3785,0.0,0,0,22,0,0,0,371,1.0,1.0,330.0,9074,CSP,Rapid Application Development,Real-Time Application
3786,0.0,0,0,8,0,0,0,262,1.0,1.0,294.25,6234,.Net,Personal Software Process (PSP),Business Application
3787,0.0,0,0,14,0,0,0,472,1.0,1.0,294.0,11221,Java,Waterfall,Infrastructure Software
3788,0.0,0,0,2,0,0,0,288,1.0,1.0,355.95,6696,ASP,Incremental,Infrastructure Software
3789,0.0,0,0,6,0,0,0,455,1.0,1.0,292.8,10644,CSP,Waterfall,Mathematically-Intensive Application
3790,0.0,0,0,8,0,0,0,392,1.0,1.0,308.0,9235,CSP,Rapid Application Development,Infrastructure Software
3791,0.0,0,0,11,0,0,0,310,1.0,1.0,299.65,7411,ASP,Unified Process and its variants,Real-Time application
3792,0.0,0,0,1,0,0,0,328,1.0,1.0,390.25,7596,Java,Incremental,Infrastructure Software
3793,0.0,0,0,11,0,0,0,416,1.0,1.0,308.0,9859,Visual Basic,Rapid Application Development (RAD),Real-Time application
3794,0.0,0,0,16,0,0,0,460,1.0,1.0,321.65,10990,Java,Personal Software Process (PSP),Mathematically-Intensive Application
3795,0.0,0,0,5,0,0,0,168,1.0,1.0,318.0,3994,XML,Rapid Application Development (RAD),Real-Time Application
3796,0.0,0,0,8,0,0,0,313,1.0,1.0,323.7,7411,Oracle,Rapid Application Development (RAD),Business Application
3797,0.0,0,0,9,0,0,0,370,1.0,1.0,289.55,8751,DELPHI,Personal Software Process (PSP),Infrastructure Software
3798,0.0,0,0,8,0,0,0,300,1.0,1.0,340.1,7111,SQL,Personal Software Process (PSP),Infrastructure Software
3799,0.0,0,0,17,0,0,0,429,1.0,1.0,299.25,10297,C,Waterfall,Real-Time application
3800,0.0,0,0,13,0,0,0,194,1.0,1.0,362.6,4779,C#,Personal Software Process (PSP),Real-Time application
3801,0.0,0,0,10,0,0,0,408,1.0,1.0,352.2,9651,PowerBuilder,Incremental,Mathematically-Intensive Application
3802,0.0,0,0,12,0,0,0,281,1.0,1.0,336.25,6765,XML,Multifunctional Teams,Real-Time Application
3803,0.0,0,0,9,0,0,0,423,1.0,1.0,367.5,9974,Java,Rapid Application Development,Infrastructure Software
3804,0.0,0,0,11,0,0,0,375,1.0,1.0,293.8,8912,Visual Basic,Rapid Application Development,Mathematically-Intensive Application
3805,0.0,0,0,16,0,0,0,349,1.0,1.0,330.0,8427,Java,Rapid Application Development (RAD),Real-Time application
3806,0.0,0,0,5,0,0,0,426,1.0,1.0,339.35,9951,XML,Waterfall,Mathematically-Intensive Application
3807,0.0,0,0,6,0,0,0,318,1.0,1.0,347.1,7481,PowerBuilder,Unified Process and its variants,Mathematically-Intensive Application
3808,0.0,0,0,16,0,0,0,390,1.0,1.0,351.4,9374,SQL,Waterfall,Mathematically-Intensive Application
3809,0.0,0,0,11,0,0,0,207,1.0,1.0,308.65,5033,Oracle,Multifunctional Teams,Infrastructure Software
3810,0.0,0,0,8,0,0,0,416,1.0,1.0,299.65,9789,CSP,Multifunctional Teams,Mathematically-Intensive Application
3811,0.0,0,0,16,0,0,0,387,1.0,1.0,340.7,9305,ASP,Personal Software Process (PSP),Mathematically-Intensive Application
3812,0.0,0,0,16,0,0,0,262,1.0,1.0,294.0,6419,C,Multifunctional Teams,Real-Time Application
3813,0.0,0,0,6,0,0,0,340,1.0,1.0,376.6,7989,PowerBuilder,Incremental,Real-Time Application
3814,0.0,0,0,9,0,0,0,231,1.0,1.0,387.9,5541,XML,Rapid Application Development (RAD),Infrastructure Software
3815,0.0,0,0,10,0,0,0,373,1.0,1.0,371.35,8843,C,Waterfall,Real-Time application
3816,0.0,0,0,4,0,0,0,429,1.0,1.0,398.1,9997,Java,Rapid Application Development,Real-Time application
3817,0.0,0,0,16,0,0,0,229,1.0,1.0,387.9,5657,Oracle,Incremental,Real-Time Application
3818,0.0,0,0,3,0,0,0,361,1.0,1.0,311.6,8404,SQL,Unified Process and its variants,Mathematically-Intensive Application
3819,0.0,0,0,4,0,0,0,313,1.0,1.0,302.4,7319,DELPHI,Rapid Application Development,Real-Time application
3820,0.0,0,0,12,0,0,0,299,1.0,1.0,340.7,7181,C++,Rapid Application Development (RAD),Business Application
3821,0.0,0,0,13,0,0,0,417,1.0,1.0,302.55,9928,XML,Rapid Application Development,Real-Time Application
3822,0.0,0,0,10,0,0,0,480,1.0,1.0,398.1,11313,Java,Personal Software Process (PSP),Real-Time Application
3823,0.0,0,0,11,0,0,0,559,1.0,1.0,338.2,13160,DELPHI,Waterfall,Mathematically-Intensive Application
3824,0.0,0,0,7,0,0,0,386,1.0,1.0,368.25,9074,Visual Basic,Waterfall,Mathematically-Intensive Application
3825,0.0,0,0,9,0,0,0,556,1.0,1.0,299.65,13045,Java,Incremental,Infrastructure Software
3826,0.0,0,0,2,0,0,0,199,1.0,1.0,338.2,4641,ASP,Incremental,Real-Time Application
3827,0.0,0,0,7,0,0,0,403,1.0,1.0,367.5,9466,Oracle,Multifunctional Teams,Mathematically-Intensive Application
3828,0.0,0,0,9,0,0,0,397,1.0,1.0,288.9,9374,Visual Basic,Multifunctional Teams,Mathematically-Intensive Application
3829,0.0,0,0,0,0,0,0,239,1.0,1.0,288.75,5518,CSP,Personal Software Process (PSP),Business Application
3830,0.0,0,0,9,0,0,0,419,1.0,1.0,312.0,9882,Oracle,Rapid Application Development,Real-Time Application
3831,0.0,0,0,5,0,0,0,444,1.0,1.0,347.1,10367,Visual Basic,Rapid Application Development (RAD),Real-Time application
3832,0.0,0,0,2,0,0,0,288,1.0,1.0,355.95,6696,SQL,Rapid Application Development (RAD),Infrastructure Software
3833,0.0,0,0,11,0,0,0,512,1.0,1.0,340.1,12075,Visual Basic,Multifunctional Teams,Real-Time application
3834,0.0,0,0,17,0,0,0,430,1.0,1.0,288.75,10321,C++,Multifunctional Teams,Mathematically-Intensive Application
3835,0.0,0,0,2,0,0,0,454,1.0,1.0,338.05,10528,Visual Basic,Personal Software Process (PSP),Mathematically-Intensive Application
3836,0.0,0,0,15,0,0,0,375,1.0,1.0,302.55,9004,C++,Personal Software Process (PSP),Business Application
3837,0.0,0,0,12,0,0,0,311,1.0,1.0,298.1,7458,C#,Incremental,Mathematically-Intensive Application
3838,0.0,0,0,16,0,0,0,399,1.0,1.0,293.65,9582,DELPHI,Incremental,Infrastructure Software
3839,0.0,0,0,11,0,0,0,295,1.0,1.0,390.25,7065,C#,Unified Process and its variants,Real-Time Application
3840,0.0,0,0,19,0,0,0,400,1.0,1.0,351.4,9674,Oracle,Waterfall,Infrastructure Software
3841,0.0,0,0,20,0,0,0,387,1.0,1.0,368.25,9397,Visual Basic,Unified Process and its variants,Real-Time application
3842,0.0,0,0,5,0,0,0,477,1.0,1.0,355.95,11129,C,Waterfall,Business Application
3843,0.0,0,0,7,0,0,0,324,1.0,1.0,323.7,7642,PowerBuilder,Waterfall,Real-Time application
3844,0.0,0,0,14,0,0,0,370,1.0,1.0,362.6,8866,Java,Rapid Application Development,Business Application
3845,0.0,0,0,8,0,0,0,497,1.0,1.0,289.1,11660,C++,Rapid Application Development (RAD),Real-Time Application
3846,0.0,0,0,12,0,0,0,385,1.0,1.0,289.55,9166,C,Unified Process and its variants,Mathematically-Intensive Application
3847,0.0,0,0,13,0,0,0,444,1.0,1.0,351.4,10551,C,Rapid Application Development (RAD),Mathematically-Intensive Application
3848,0.0,0,0,16,0,0,0,385,1.0,1.0,338.05,9258,C++,Unified Process and its variants,Business Application
3849,0.0,0,0,0,0,0,0,342,1.0,1.0,297.0,7896,.Net,Multifunctional Teams,Infrastructure Software
3850,0.0,0,0,7,0,0,0,610,1.0,1.0,372.45,14246,Oracle,Incremental,Real-Time application
3851,0.0,0,0,10,0,0,0,446,1.0,1.0,358.3,10528,Java,Personal Software Process (PSP),Real-Time application
3852,0.0,0,0,20,0,0,0,465,1.0,1.0,294.0,11198,ASP,Personal Software Process (PSP),Business Application
3853,0.0,0,0,5,0,0,0,449,1.0,1.0,398.1,10482,C++,Waterfall,Business Application
3854,0.0,0,0,11,0,0,0,446,1.0,1.0,352.0,10551,C#,Rapid Application Development,Real-Time Application
3855,0.0,0,0,5,0,0,0,354,1.0,1.0,294.0,8289,.Net,Personal Software Process (PSP),Infrastructure Software
3856,0.0,0,0,19,0,0,0,308,1.0,1.0,292.8,7550,.Net,Rapid Application Development (RAD),Real-Time Application
3857,0.0,0,0,11,0,0,0,357,1.0,1.0,298.1,8497,C,Personal Software Process (PSP),Infrastructure Software
3858,0.0,0,0,12,0,0,0,536,1.0,1.0,298.1,12652,ASP,Rapid Application Development,Business Application
3859,0.0,0,0,3,0,0,0,347,1.0,1.0,320.0,8081,XML,Rapid Application Development,Real-Time Application
3860,0.0,0,0,8,0,0,0,616,1.0,1.0,294.0,14407,Java,Personal Software Process (PSP),Infrastructure Software
3861,0.0,0,0,2,0,0,0,502,1.0,1.0,311.6,11637,.Net,Incremental,Real-Time Application
3862,0.0,0,0,8,0,0,0,382,1.0,1.0,297.2,9004,C++,Waterfall,Real-Time Application
3863,0.0,0,0,6,0,0,0,347,1.0,1.0,303.1,8150,C#,Rapid Application Development (RAD),Business Application
3864,0.0,0,0,12,0,0,0,494,1.0,1.0,288.9,11683,PowerBuilder,Personal Software Process (PSP),Business Application
3865,0.0,0,0,13,0,0,0,512,1.0,1.0,347.1,12121,PowerBuilder,Waterfall,Real-Time Application
3866,0.0,0,0,16,0,0,0,402,1.0,1.0,288.75,9651,PowerBuilder,Multifunctional Teams,Business Application
3867,0.0,0,0,17,0,0,0,329,1.0,1.0,362.25,7989,XML,Unified Process and its variants,Infrastructure Software
3868,0.0,0,0,12,0,0,0,444,1.0,1.0,302.4,10528,PowerBuilder,Incremental,Infrastructure Software
3869,0.0,0,0,6,0,0,0,324,1.0,1.0,301.75,7619,C#,Incremental,Real-Time application
3870,0.0,0,0,13,0,0,0,346,1.0,1.0,340.45,8289,Visual Basic,Rapid Application Development (RAD),Real-Time application
3871,0.0,0,0,11,0,0,0,251,1.0,1.0,303.1,6049,PowerBuilder,Incremental,Real-Time application
3872,0.0,0,0,8,0,0,0,205,1.0,1.0,293.65,4918,C,Multifunctional Teams,Business Application
3873,0.0,0,0,2,0,0,0,221,1.0,1.0,334.5,5149,C#,Rapid Application Development,Business Application
3874,0.0,0,0,14,0,0,0,475,1.0,1.0,351.4,11290,SQL,Rapid Application Development,Real-Time Application
3875,0.0,0,0,8,0,0,0,323,1.0,1.0,387.9,7642,DELPHI,Multifunctional Teams,Business Application
3876,0.0,0,0,7,0,0,0,394,1.0,1.0,355.95,9258,PowerBuilder,Multifunctional Teams,Infrastructure Software
3877,0.0,0,0,15,0,0,0,403,1.0,1.0,298.55,9651,Java,Unified Process and its variants,Real-Time Application
3878,0.0,0,0,10,0,0,0,417,1.0,1.0,320.6,9859,Java,Waterfall,Mathematically-Intensive Application
3879,0.0,0,0,18,0,0,0,428,1.0,1.0,299.65,10297,DELPHI,Rapid Application Development (RAD),Business Application
3880,0.0,0,0,10,0,0,0,338,1.0,1.0,308.65,8035,.Net,Waterfall,Mathematically-Intensive Application
3881,0.0,0,0,11,0,0,0,387,1.0,1.0,301.75,9189,Visual Basic,Rapid Application Development (RAD),Infrastructure Software
3882,0.0,0,0,10,0,0,0,317,1.0,1.0,330.0,7550,Oracle,Waterfall,Mathematically-Intensive Application
3883,0.0,0,0,12,0,0,0,315,1.0,1.0,305.85,7550,C#,Rapid Application Development (RAD),Real-Time application
3884,0.0,0,0,11,0,0,0,351,1.0,1.0,372.55,8358,PowerBuilder,Waterfall,Real-Time application
3885,0.0,0,0,8,0,0,0,393,1.0,1.0,365.15,9258,Visual Basic,Incremental,Infrastructure Software
3886,0.0,0,0,11,0,0,0,410,1.0,1.0,293.65,9720,ASP,Personal Software Process (PSP),Mathematically-Intensive Application
3887,0.0,0,0,9,0,0,0,443,1.0,1.0,288.9,10436,Visual Basic,Multifunctional Teams,Infrastructure Software
3888,0.0,0,0,14,0,0,0,356,1.0,1.0,316.85,8543,Java,Incremental,Real-Time application
3889,0.0,0,0,8,0,0,0,439,1.0,1.0,302.55,10321,PowerBuilder,Multifunctional Teams,Real-Time Application
3890,0.0,0,0,13,0,0,0,387,1.0,1.0,347.1,9235,SQL,Personal Software Process (PSP),Mathematically-Intensive Application
3891,0.0,0,0,19,0,0,0,401,1.0,1.0,292.8,9697,ASP,Incremental,Mathematically-Intensive Application
3892,0.0,0,0,6,0,0,0,309,1.0,1.0,362.6,7273,CSP,Rapid Application Development,Real-Time Application
3893,0.0,0,0,10,0,0,0,335,1.0,1.0,371.35,7966,SQL,Personal Software Process (PSP),Real-Time Application
3894,0.0,0,0,18,0,0,0,416,1.0,1.0,298.1,10020,C,Rapid Application Development (RAD),Business Application
3895,0.0,0,0,9,0,0,0,263,1.0,1.0,294.1,6280,XML,Unified Process and its variants,Real-Time Application
3896,0.0,0,0,5,0,0,0,347,1.0,1.0,368.25,8127,CSP,Rapid Application Development,Mathematically-Intensive Application
3897,0.0,0,0,4,0,0,0,377,1.0,1.0,336.25,8797,Visual Basic,Waterfall,Real-Time application
3898,0.0,0,0,7,0,0,0,304,1.0,1.0,302.4,7181,Visual Basic,Waterfall,Real-Time Application
3899,0.0,0,0,12,0,0,0,481,1.0,1.0,370.3,11383,XML,Multifunctional Teams,Infrastructure Software
3900,0.0,0,0,18,0,0,0,249,1.0,1.0,293.8,6165,C,Unified Process and its variants,Real-Time Application
3901,0.0,0,0,12,0,0,0,381,1.0,1.0,382.15,9074,CSP,Multifunctional Teams,Mathematically-Intensive Application
3902,0.0,0,0,10,0,0,0,297,1.0,1.0,372.55,7088,PowerBuilder,Rapid Application Development,Business Application
3903,0.0,0,0,6,0,0,0,395,1.0,1.0,311.6,9258,Java,Multifunctional Teams,Infrastructure Software
3904,0.0,0,0,9,0,0,0,380,1.0,1.0,372.55,8981,DELPHI,Personal Software Process (PSP),Business Application
3905,0.0,0,0,22,0,0,0,437,1.0,1.0,296.35,10598,C,Rapid Application Development (RAD),Real-Time application
3906,0.0,0,0,8,0,0,0,253,1.0,1.0,372.45,6026,DELPHI,Multifunctional Teams,Infrastructure Software
3907,0.0,0,0,10,0,0,0,305,1.0,1.0,299.65,7273,CSP,Rapid Application Development (RAD),Real-Time Application
3908,0.0,0,0,6,0,0,0,516,1.0,1.0,293.65,12052,PowerBuilder,Rapid Application Development (RAD),Business Application
3909,0.0,0,0,3,0,0,0,512,1.0,1.0,320.0,11891,CSP,Personal Software Process (PSP),Infrastructure Software
3910,0.0,0,0,10,0,0,0,312,1.0,1.0,340.7,7434,Visual Basic,Unified Process and its variants,Real-Time Application
3911,0.0,0,0,12,0,0,0,206,1.0,1.0,340.7,5033,SQL,Rapid Application Development,Real-Time application
3912,0.0,0,0,16,0,0,0,242,1.0,1.0,338.2,5957,.Net,Personal Software Process (PSP),Real-Time application
3913,0.0,0,0,11,0,0,0,484,1.0,1.0,301.15,11429,.Net,Rapid Application Development,Mathematically-Intensive Application
3914,0.0,0,0,21,0,0,0,447,1.0,1.0,398.1,10805,Java,Incremental,Mathematically-Intensive Application
3915,0.0,0,0,13,0,0,0,394,1.0,1.0,330.0,9397,.Net,Rapid Application Development (RAD),Infrastructure Software
3916,0.0,0,0,5,0,0,0,358,1.0,1.0,320.0,8381,Java,Unified Process and its variants,Mathematically-Intensive Application
3917,0.0,0,0,1,0,0,0,308,1.0,1.0,320.6,7134,Java,Rapid Application Development,Mathematically-Intensive Application
3918,0.0,0,0,13,0,0,0,493,1.0,1.0,372.45,11683,SQL,Rapid Application Development,Infrastructure Software
3919,0.0,0,0,5,0,0,0,306,1.0,1.0,311.6,7181,PowerBuilder,Incremental,Real-Time Application
3920,0.0,0,0,8,0,0,0,472,1.0,1.0,289.55,11082,C++,Waterfall,Real-Time Application
3921,0.0,0,0,3,0,0,0,255,1.0,1.0,289.55,5957,ASP,Unified Process and its variants,Real-Time Application
3922,0.0,0,0,14,0,0,0,235,1.0,1.0,396.75,5749,C,Personal Software Process (PSP),Real-Time Application
3923,0.0,0,0,9,0,0,0,211,1.0,1.0,372.45,5079,Visual Basic,Incremental,Mathematically-Intensive Application
3924,0.0,0,0,13,0,0,0,258,1.0,1.0,293.15,6257,SQL,Incremental,Infrastructure Software
3925,0.0,0,0,13,0,0,0,399,1.0,1.0,382.15,9512,ASP,Incremental,Real-Time Application
3926,0.0,0,0,15,0,0,0,362,1.0,1.0,297.2,8704,ASP,Personal Software Process (PSP),Real-Time Application
3927,0.0,0,0,19,0,0,0,438,1.0,1.0,365.15,10551,C,Incremental,Mathematically-Intensive Application
3928,0.0,0,0,0,0,0,0,345,1.0,1.0,347.1,7966,DELPHI,Multifunctional Teams,Infrastructure Software
3929,0.0,0,0,15,0,0,0,435,1.0,1.0,347.1,10390,.Net,Rapid Application Development,Business Application
3930,0.0,0,0,8,0,0,0,372,1.0,1.0,294.0,8774,C#,Unified Process and its variants,Real-Time application
3931,0.0,0,0,10,0,0,0,224,1.0,1.0,289.55,5403,Oracle,Incremental,Mathematically-Intensive Application
3932,0.0,0,0,10,0,0,0,241,1.0,1.0,336.25,5795,C#,Incremental,Real-Time Application
3933,0.0,0,0,12,0,0,0,417,1.0,1.0,296.35,9905,XML,Rapid Application Development,Business Application
3934,0.0,0,0,10,0,0,0,298,1.0,1.0,352.0,7111,.Net,Multifunctional Teams,Business Application
3935,0.0,0,0,8,0,0,0,326,1.0,1.0,367.5,7712,C#,Incremental,Infrastructure Software
3936,0.0,0,0,4,0,0,0,375,1.0,1.0,292.8,8751,DELPHI,Personal Software Process (PSP),Real-Time application
3937,0.0,0,0,4,0,0,0,310,1.0,1.0,298.1,7250,SQL,Waterfall,Business Application
3938,0.0,0,0,7,0,0,0,561,1.0,1.0,294.0,13114,XML,Personal Software Process (PSP),Infrastructure Software
3939,0.0,0,0,14,0,0,0,273,1.0,1.0,294.25,6626,C++,Waterfall,Real-Time application
3940,0.0,0,0,5,0,0,0,421,1.0,1.0,355.95,9836,C,Rapid Application Development,Infrastructure Software
3941,0.0,0,0,6,0,0,0,487,1.0,1.0,398.5,11383,ASP,Unified Process and its variants,Infrastructure Software
3942,0.0,0,0,10,0,0,0,331,1.0,1.0,290.0,7873,Java,Personal Software Process (PSP),Mathematically-Intensive Application
3943,0.0,0,0,18,0,0,0,336,1.0,1.0,362.25,8173,DELPHI,Multifunctional Teams,Real-Time application
3944,0.0,0,0,4,0,0,0,588,1.0,1.0,321.65,13668,Java,Rapid Application Development,Real-Time application
3945,0.0,0,0,17,0,0,0,383,1.0,1.0,368.25,9235,PowerBuilder,Personal Software Process (PSP),Business Application
3946,0.0,0,0,8,0,0,0,488,1.0,1.0,398.5,11452,Visual Basic,Rapid Application Development,Mathematically-Intensive Application
3947,0.0,0,0,11,0,0,0,381,1.0,1.0,290.0,9051,DELPHI,Rapid Application Development,Business Application
3948,0.0,0,0,6,0,0,0,424,1.0,1.0,338.2,9928,Visual Basic,Unified Process and its variants,Business Application
3949,0.0,0,0,19,0,0,0,421,1.0,1.0,347.1,10159,XML,Rapid Application Development (RAD),Real-Time application
3950,0.0,0,0,13,0,0,0,408,1.0,1.0,312.0,9720,XML,Unified Process and its variants,Business Application
3951,0.0,0,0,8,0,0,0,425,1.0,1.0,299.25,9997,ASP,Rapid Application Development,Real-Time application
3952,0.0,0,0,8,0,0,0,328,1.0,1.0,367.5,7758,ASP,Unified Process and its variants,Business Application
3953,0.0,0,0,15,0,0,0,249,1.0,1.0,355.55,6095,C,Rapid Application Development,Business Application
3954,0.0,0,0,6,0,0,0,460,1.0,1.0,305.85,10759,Visual Basic,Waterfall,Mathematically-Intensive Application
3955,0.0,0,0,9,0,0,0,545,1.0,1.0,301.2,12791,C,Incremental,Real-Time application
3956,0.0,0,0,11,0,0,0,328,1.0,1.0,398.1,7827,DELPHI,Personal Software Process (PSP),Real-Time application
3957,0.0,0,0,14,0,0,0,386,1.0,1.0,320.6,9235,C#,Multifunctional Teams,Real-Time Application
3958,0.0,0,0,13,0,0,0,345,1.0,1.0,355.55,8266,Java,Incremental,Real-Time application
3959,0.0,0,0,5,0,0,0,226,1.0,1.0,289.1,5333,PowerBuilder,Rapid Application Development,Business Application
3960,0.0,0,0,10,0,0,0,524,1.0,1.0,365.15,12329,PowerBuilder,Personal Software Process (PSP),Real-Time Application
3961,0.0,0,0,10,0,0,0,327,1.0,1.0,299.25,7781,C,Rapid Application Development (RAD),Business Application
3962,0.0,0,0,14,0,0,0,396,1.0,1.0,320.0,9466,ASP,Waterfall,Real-Time Application
3963,0.0,0,0,10,0,0,0,331,1.0,1.0,293.15,7873,XML,Unified Process and its variants,Mathematically-Intensive Application
3964,0.0,0,0,9,0,0,0,304,1.0,1.0,305.85,7227,C,Unified Process and its variants,Real-Time Application
3965,0.0,0,0,9,0,0,0,343,1.0,1.0,318.0,8127,.Net,Incremental,Real-Time application
3966,0.0,0,0,4,0,0,0,392,1.0,1.0,334.5,9143,DELPHI,Rapid Application Development (RAD),Real-Time Application
3967,0.0,0,0,14,0,0,0,509,1.0,1.0,376.6,12075,C++,Rapid Application Development (RAD),Mathematically-Intensive Application
3968,0.0,0,0,9,0,0,0,372,1.0,1.0,372.45,8797,C,Unified Process and its variants,Infrastructure Software
3969,0.0,0,0,10,0,0,0,398,1.0,1.0,347.1,9420,SQL,Personal Software Process (PSP),Business Application
3970,0.0,0,0,7,0,0,0,381,1.0,1.0,320.8,8958,CSP,Rapid Application Development,Mathematically-Intensive Application
3971,0.0,0,0,7,0,0,0,473,1.0,1.0,372.45,11082,C++,Personal Software Process (PSP),Mathematically-Intensive Application
3972,0.0,0,0,12,0,0,0,317,1.0,1.0,330.0,7596,DELPHI,Rapid Application Development,Business Application
3973,0.0,0,0,7,0,0,0,388,1.0,1.0,301.2,9120,Visual Basic,Incremental,Real-Time application
3974,0.0,0,0,7,0,0,0,371,1.0,1.0,320.0,8727,ASP,Personal Software Process (PSP),Business Application
3975,0.0,0,0,11,0,0,0,511,1.0,1.0,294.25,12052,DELPHI,Rapid Application Development,Real-Time Application
3976,0.0,0,0,8,0,0,0,318,1.0,1.0,294.1,7527,DELPHI,Rapid Application Development (RAD),Mathematically-Intensive Application
3977,0.0,0,0,17,0,0,0,322,1.0,1.0,320.8,7827,C++,Rapid Application Development (RAD),Infrastructure Software
3978,0.0,0,0,0,0,0,0,485,1.0,1.0,299.65,11198,Java,Unified Process and its variants,Business Application
3979,0.0,0,0,5,0,0,0,410,1.0,1.0,321.65,9582,Java,Rapid Application Development,Business Application
3980,0.0,0,0,10,0,0,0,294,1.0,1.0,320.8,7019,SQL,Multifunctional Teams,Real-Time application
3981,0.0,0,0,16,0,0,0,320,1.0,1.0,293.25,7758,ASP,Incremental,Infrastructure Software
3982,0.0,0,0,14,0,0,0,374,1.0,1.0,294.25,8958,CSP,Unified Process and its variants,Real-Time application
3983,0.0,0,0,14,0,0,0,374,1.0,1.0,338.2,8958,Java,Multifunctional Teams,Infrastructure Software
3984,0.0,0,0,5,0,0,0,372,1.0,1.0,338.2,8704,SQL,Rapid Application Development,Real-Time Application
3985,0.0,0,0,6,0,0,0,401,1.0,1.0,299.65,9397,SQL,Unified Process and its variants,Real-Time application
3986,0.0,0,0,1,0,0,0,394,1.0,1.0,290.0,9120,Java,Rapid Application Development (RAD),Infrastructure Software
3987,0.0,0,0,8,0,0,0,549,1.0,1.0,320.0,12860,ASP,Waterfall,Business Application
3988,0.0,0,0,13,0,0,0,500,1.0,1.0,298.1,11844,DELPHI,Personal Software Process (PSP),Business Application
3989,0.0,0,0,3,0,0,0,430,1.0,1.0,376.6,9997,Java,Personal Software Process (PSP),Infrastructure Software
3990,0.0,0,0,16,0,0,0,442,1.0,1.0,288.9,10575,ASP,Unified Process and its variants,Business Application
3991,0.0,0,0,5,0,0,0,316,1.0,1.0,340.1,7411,C#,Personal Software Process (PSP),Mathematically-Intensive Application
3992,0.0,0,0,7,0,0,0,462,1.0,1.0,320.6,10828,Oracle,Personal Software Process (PSP),Mathematically-Intensive Application
3993,0.0,0,0,6,0,0,0,429,1.0,1.0,372.55,10043,PowerBuilder,Unified Process and its variants,Real-Time application
3994,0.0,0,0,12,0,0,0,508,1.0,1.0,387.9,12006,CSP,Multifunctional Teams,Real-Time application
3995,0.0,0,0,10,0,0,0,329,1.0,1.0,321.65,7827,XML,Rapid Application Development,Real-Time Application
3996,0.0,0,0,10,0,0,0,427,1.0,1.0,334.5,10090,C,Unified Process and its variants,Real-Time Application
3997,0.0,0,0,16,0,0,0,405,1.0,1.0,308.0,9720,CSP,Unified Process and its variants,Business Application
3998,0.0,0,0,19,0,0,0,484,1.0,1.0,352.0,11613,ASP,Rapid Application Development,Infrastructure Software
3999,0.0,0,0,6,0,0,0,279,1.0,1.0,288.75,6580,C,Multifunctional Teams,Business Application
4000,0.0,0,0,10,0,0,0,526,1.0,1.0,355.95,12375,Visual Basic,Rapid Application Development (RAD),Infrastructure Software
4001,0.0,0,0,13,0,0,0,455,1.0,1.0,298.55,10805,XML,Multifunctional Teams,Real-Time application
4002,0.0,0,0,14,0,0,0,418,1.0,1.0,340.7,9974,C,Unified Process and its variants,Mathematically-Intensive Application
4003,0.0,0,0,18,0,0,0,306,1.0,1.0,311.6,7481,PowerBuilder,Unified Process and its variants,Business Application
4004,0.0,0,0,6,0,0,0,339,1.0,1.0,293.15,7966,Visual Basic,Rapid Application Development,Real-Time Application
4005,0.0,0,0,3,0,0,0,333,1.0,1.0,398.5,7758,XML,Rapid Application Development (RAD),Real-Time Application
4006,0.0,0,0,10,0,0,0,307,1.0,1.0,338.2,7319,C#,Multifunctional Teams,Business Application
4007,0.0,0,0,6,0,0,0,364,1.0,1.0,351.4,8543,CSP,Personal Software Process (PSP),Infrastructure Software
4008,0.0,0,0,6,0,0,0,461,1.0,1.0,321.65,10782,Visual Basic,Rapid Application Development,Real-Time Application
4009,0.0,0,0,2,0,0,0,335,1.0,1.0,368.25,7781,Oracle,Rapid Application Development,Real-Time Application
4010,0.0,0,0,10,0,0,0,263,1.0,1.0,340.45,6303,XML,Incremental,Real-Time Application
4011,0.0,0,0,11,0,0,0,469,1.0,1.0,390.25,11082,XML,Multifunctional Teams,Business Application
4012,0.0,0,0,5,0,0,0,322,1.0,1.0,370.3,7550,C,Incremental,Business Application
4013,0.0,0,0,7,0,0,0,370,1.0,1.0,376.6,8704,ASP,Unified Process and its variants,Real-Time application
4014,0.0,0,0,4,0,0,0,406,1.0,1.0,340.7,9466,C#,Multifunctional Teams,Business Application
4015,0.0,0,0,4,0,0,0,256,1.0,1.0,396.75,6003,XML,Incremental,Real-Time Application
4016,0.0,0,0,17,0,0,0,549,1.0,1.0,396.75,13068,Visual Basic,Multifunctional Teams,Real-Time application
4017,0.0,0,0,13,0,0,0,463,1.0,1.0,398.1,10990,.Net,Waterfall,Real-Time Application
